"","driverId","lap_number","lap_time","pitstop","pitstop_lagged"
"483",9,55,89529,FALSE,0
"484",9,56,89665,FALSE,0
"485",9,57,89912,FALSE,0
"486",9,58,90501,FALSE,0
"487",10,1,107562,FALSE,0
"488",10,2,95807,FALSE,0
"489",10,3,95741,FALSE,0
"490",10,4,95552,FALSE,0
"491",10,5,96121,FALSE,0
"492",10,6,95223,FALSE,0
"493",10,7,97583,FALSE,0
"494",10,8,95754,FALSE,0
"495",10,9,95045,FALSE,0
"496",10,10,96007,FALSE,0
"497",10,11,94697,FALSE,0
"498",10,12,94991,FALSE,0
"499",10,13,95188,FALSE,0
"500",10,14,117090,TRUE,0
"501",10,15,100248,FALSE,1
"502",10,16,93502,FALSE,0
"503",10,17,94023,FALSE,0
"504",10,18,93436,FALSE,0
"505",10,19,93362,FALSE,0
"506",10,20,94545,FALSE,0
"507",10,21,94172,FALSE,0
"508",10,22,93140,FALSE,0
"509",10,23,94336,FALSE,0
"510",10,24,94067,FALSE,0
"511",10,25,95284,FALSE,0
"512",10,26,93087,FALSE,0
"513",10,27,92923,FALSE,0
"514",10,28,92788,FALSE,0
"515",10,29,93166,FALSE,0
"516",10,30,92665,FALSE,0
"517",10,31,92890,FALSE,0
"518",10,32,92872,FALSE,0
"519",10,33,93198,FALSE,0
"520",10,34,92756,FALSE,0
"521",10,35,93054,FALSE,0
"522",10,36,115102,TRUE,0
"523",10,37,100552,FALSE,1
"524",10,38,93694,FALSE,0
"525",10,39,92422,FALSE,0
"526",10,40,91941,FALSE,0
"527",10,41,92168,FALSE,0
"528",10,42,92177,FALSE,0
"529",10,43,93833,FALSE,0
"530",10,44,92125,FALSE,0
"531",10,45,92389,FALSE,0
"532",10,46,92486,FALSE,0
"533",10,47,92805,FALSE,0
"534",10,48,92636,FALSE,0
"535",10,49,92953,FALSE,0
"536",10,50,92593,FALSE,0
"537",10,51,92979,FALSE,0
"538",10,52,93059,FALSE,0
"539",10,53,94403,FALSE,0
"540",10,54,94500,FALSE,0
"541",10,55,94419,FALSE,0
"542",10,56,96305,FALSE,0
"543",10,57,96350,FALSE,0
"544",11,1,111121,FALSE,0
"545",11,2,95399,FALSE,0
"546",11,3,94800,FALSE,0
"547",11,4,94806,FALSE,0
"548",11,5,95432,FALSE,0
"549",11,6,95178,FALSE,0
"550",11,7,96232,FALSE,0
"551",11,8,95153,FALSE,0
"552",11,9,94610,FALSE,0
"553",11,10,94490,FALSE,0
"554",11,11,94479,FALSE,0
"555",11,12,96212,FALSE,0
"556",11,13,94943,FALSE,0
"557",11,14,94376,FALSE,0
"558",11,15,116915,TRUE,0
"559",11,16,100111,FALSE,1
"560",11,17,94923,FALSE,0
"561",11,18,92831,FALSE,0
"562",11,19,93351,FALSE,0
"563",11,20,93400,FALSE,0
"564",11,21,93098,FALSE,0
"565",11,22,92987,FALSE,0
"566",11,23,95281,FALSE,0
"567",11,24,93050,FALSE,0
"568",11,25,92355,FALSE,0
"569",11,26,92169,FALSE,0
"570",11,27,92574,FALSE,0
"571",11,28,92275,FALSE,0
"572",11,29,111416,TRUE,0
"573",11,30,101470,FALSE,1
"574",11,31,92733,FALSE,0
"575",11,32,91907,FALSE,0
"576",11,33,91936,FALSE,0
"577",11,34,91958,FALSE,0
"578",11,35,92441,FALSE,0
"579",11,36,91143,FALSE,0
"580",11,37,90979,FALSE,0
"581",11,38,91339,FALSE,0
"582",11,39,91160,FALSE,0
"583",11,40,91216,FALSE,0
"584",11,41,91406,FALSE,0
"585",11,42,91667,FALSE,0
"586",11,43,91178,FALSE,0
"587",11,44,90836,FALSE,0
"588",11,45,91020,FALSE,0
"589",11,46,90987,FALSE,0
"590",11,47,91151,FALSE,0
"591",11,48,91348,FALSE,0
"592",11,49,92579,FALSE,0
"593",11,50,92093,FALSE,0
"594",11,51,91957,FALSE,0
