"Date","BitcoinTransactions"
"2015-08-06",124658
"2015-08-07",104420
"2015-08-08",101512
"2015-08-09",110686
"2015-08-10",116923
"2015-08-11",114741
"2015-08-12",118336
"2015-08-13",107950
"2015-08-14",111255
"2015-08-15",86583
"2015-08-16",86583
"2015-08-17",115049
"2015-08-18",120131
"2015-08-19",122864
"2015-08-20",118230
"2015-08-21",116311
"2015-08-22",107795
"2015-08-23",94529
"2015-08-24",117026
"2015-08-25",125060
"2015-08-26",122852
"2015-08-27",116334
"2015-08-28",121692
"2015-08-29",107489
"2015-08-30",92338
"2015-08-31",117985
"2015-09-01",130410
"2015-09-02",137743
"2015-09-03",137446
"2015-09-04",103973
"2015-09-05",137427
"2015-09-06",106101
"2015-09-07",125467
"2015-09-08",126751
"2015-09-09",128619
"2015-09-10",124951
"2015-09-11",165288
"2015-09-12",153538
"2015-09-13",146048
"2015-09-14",163531
"2015-09-15",165993
"2015-09-16",167269
"2015-09-17",241346
"2015-09-18",188330
"2015-09-19",114851
"2015-09-20",105933
"2015-09-21",124667
"2015-09-22",136784
"2015-09-23",134964
"2015-09-24",124822
"2015-09-25",128166
"2015-09-26",107256
"2015-09-27",130885
"2015-09-28",138570
"2015-09-29",141351
"2015-09-30",135885
"2015-10-01",134327
"2015-10-02",132880
"2015-10-03",100858
"2015-10-04",103531
"2015-10-05",142346
"2015-10-06",139516
"2015-10-07",134931
"2015-10-08",119490
"2015-10-09",128618
"2015-10-10",127005
"2015-10-11",126927
"2015-10-12",133757
"2015-10-13",134878
"2015-10-14",157228
"2015-10-15",143885
"2015-10-16",143286
"2015-10-17",120858
"2015-10-18",120858
"2015-10-19",143969
"2015-10-20",138080
"2015-10-21",161031
"2015-10-22",147402
"2015-10-23",146222
"2015-10-24",140827
"2015-10-25",131488
"2015-10-26",126041
"2015-10-27",141609
"2015-10-28",160175
"2015-10-29",165622
"2015-10-30",164938
"2015-10-31",155400
"2015-11-01",156648
"2015-11-02",159656
"2015-11-03",186362
"2015-11-04",211121
"2015-11-05",189326
"2015-11-06",166893
"2015-11-07",161595
"2015-11-08",134785
"2015-11-09",159836
"2015-11-10",154030
"2015-11-11",171159
"2015-11-12",157847
"2015-11-13",156988
"2015-11-14",156065
"2015-11-15",143369
"2015-11-16",150942
"2015-11-17",158254
"2015-11-18",165269
"2015-11-19",154561
"2015-11-20",155128
"2015-11-21",151035
"2015-11-22",126564
"2015-11-23",142698
"2015-11-24",152324
"2015-11-25",152463
"2015-11-26",164730
"2015-11-27",160235
"2015-11-28",171602
"2015-11-29",130758
"2015-11-30",182648
"2015-12-01",184404
"2015-12-02",177277
"2015-12-03",164774
"2015-12-04",200213
"2015-12-05",179777
"2015-12-06",179712
"2015-12-07",185788
"2015-12-08",192097
"2015-12-09",220323
"2015-12-10",211452
"2015-12-11",211198
"2015-12-12",204141
"2015-12-13",186151
"2015-12-14",221499
"2015-12-15",223998
"2015-12-16",222531
"2015-12-17",219600
"2015-12-18",213847
"2015-12-19",216944
"2015-12-20",191441
"2015-12-21",229444
"2015-12-22",223130
"2015-12-23",221289
"2015-12-24",210228
